Driver Name ,Team Name,Bahrain GP Points,Australian GP Points,Imola GP Points,Spain GP Points,Great Britain GP points,Las Vegas GP Points,Belgium GP Points,Austria GP Points,Brazil GP Points,Abu Dhabi GP Points,Grand total,Reserve Driver points
Wi7ard,williams,7,18,26,19,26,9,19,26,10,,195,
Mahesh,williams,,2,8,6,1,10,,,8,,,
Simman,ferrari,25,26,15,25,18,15,12,6,16,,162,Majunu - 4
Nightfury,ferrari,,,,,,,,,,,,
TheGodfather,alpine,18,12,10,,,18,10,,4,,116,Denji - 2
ApexEntropy,alpine,,,1,10,6,12,,12,1,,,
Harish,haas,,,,15,10,25,8,10,6,,116,Apex - 1
Kentucky,haas,12,6,,4,4,1,6,8,,,,
Vibin,aston martin,10,4,2,2,15,,15,15,25,,111,Killjoy - 2
Apurrv,aston martin,,1,4,12,,,4,,,,,
Overload,mclaren,,10,12,,12,,,,,,60,
Bopedope,mclaren,,,6,,,6,,,12,,,
Oxygen,kick sauber,,,18,,,,,,,,51," Sandeep - 18, "
Bala,kick sauber,,,,,,,,,,,,Apex - 15
Memb,mercedes,,,,8,8,2,,,,,42,"Sandeep - 18,  "
Maayaone,mercedes,,,,,,,,,,,,Nightfury - 6
Clone,racing bulls,8,,,,,,,,,,34,"Sandeep - 25, "
Spartan Gamer,racing bulls,,,,,,,,,,,,DT - 1
Denji,red bull racing,,,,,2,,,4,,,30,Nightfury - 23
HarryBeckham,red bull racing,,,,,,,,1,,,,
Nightfury,reserve,15,8,,,,4,2,,,,,
Killjoy,reserve,,,,,,,,2,,,,
Dicaprio,reserve,,,,,,,,,,,,
Origin,reserve,,,,,,,,,,,,
Pete,reserve,,,,,,,,,,,,
Ragehunter,reserve,,,,,,,,,2,,,
Sandeep,reserve,,,,,,,25,18,18,,,
Attack Helicopter,reserve,,,,,,,,,,,,
ApexEntropy,reserve,1,15,,,,,,,,,,
Raj Sid,reserve,,,,,,,,,,,,
ApexEntropy,reserve,1,,,,,,,,,,,
Denji,reserve,2,,,,,,,,,,,
Mr.A^2,reserve,,,,,,,,,,,,
